index_100	brand	model	website_link	ingredient_list	has_soy	has_palm_oil	total_arsenic	inorganic_arsenic	lead	cadmium	mercury	aluminum	potassium	bisphenol_a	bisphenol_f	bisphenol_s	acrylamide	report_year
101	A2	Platinum	https://a2platinum.com/pages/why-a2	recalled			ND	NT	2.9	ND	ND	1770	5580000	ND	ND	ND	ND	2025
102	Aptamil	First Infant Milk	https://www.nutricia.co.uk/hcp/pim-products/aptamil-first-infant-milk-with-pronutra-powder.html	Dairy-based blend (of which 29% is fermented) [Lactose (from milk), Vegetable oils (High oleic sunflower oil, Coconut oil, Rapeseed oil, Sunflower oil), Skimmed milk, Demineralised whey (from milk), Whey concentrate (from milk), Fish oil, Potassium citrate, Calcium carbonate, Magnesium chloride, Choline chloride, Calcium phosphate, Sodium citrate, Potassium chloride, Vitamin C, Emulsifier (Soy lecithin), Inositol, Antioxidant (Vitamin C), Pantothenic acid, Nicotinamide, Vitamin E, Thiamin, Riboflavin, Vitamin B₆, Potassium iodide, Folic acid, Vitamin K₁, Biotin, Vitamin B₁₂], Galacto-oligosaccharides (GOS) (from milk), Milk protein, Fructo-oligosaccharides (FOS), Oil from Mortierella Alpina, Sodium chloride, L-Tryptophan, Ferrous sulphate, Zinc sulphate, L-Carnitine, Copper sulphate, Vitamin A, Sodium selenite, Manganese sulphate, Vitamin D₃. Allergy Advice: For allergens, see ingredients in bold.			ND	NT	1.5	ND	ND	215	5670000	ND	ND	ND	ND	2025
103	"Baby’s Only
Organic"	Complete Nutrition	https://babysonly.com/collections/shop-all/products/organic-gentle-infant-formula	Organic Lactose, Organic Nonfat Milk (Source Of A2 Proteins), Organic High Oleic Sunflower, Organic Soybean Oil, Organic Whey Protein Concentrate, Organic Coconut Oil, Less Than 2% Of: Organic Soy Lecithin, Calcium Carbonate, Calcium Phosphate, Sodium Chloride, Potassium Chloride, Potassium Citrate, Magnesium Phosphate, Choline Bitartrate, Calcium Ascorbate, Inositol, Ferrous Sulfate, D-Alpha Tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Biotin, Vitamin A, Thiamin Hydrochloride, Copper Sulfate, Riboflavin, Pyridoxine Hydrochloride, Sodium Selenate, Manganese Sulfate, Phylloquinone, Folic Acid, Vitamin D3, And Vitamin B12.			ND	NT	1.4	ND	ND	307	6080000	ND	ND	ND	ND	2025
104	Bobbie	"Grass-Fed Whole Milk
(non-organic)"	https://www.hibobbie.com/products/grass-fed-whole-milk-infant-formula-14-1oz?variant=42520514101333	lactose, organic whole milk, organic linoleic sunflower oil, organic low erucic acid rapeseed oil, organic whey protein concentrate, organic high oleic sunflower oil, organic coconut oil, less than 2 % of: organic low erucic acid rapeseed lecithin, schizochytrium sp. oil*, mortierella alpina oil**, calcium carbonate, calcium phosphate, potassium chloride, sodium chloride, potassium citrate, l-carnitine, magnesium phosphate, calcium ascorbate, choline bitartrate, inositol, potassium iodide, ferrous sulfate, d-alpha tocopheryl acetate, zinc sulfate, vitamin c palmitate, niacinamide, calcium pantothenate, biotin, vitamin a, thiamin hydrochloride, copper sulfate, riboflavin, mixed tocopherols, pyridoxine hydrochloride, sodium selenate, manganese sulfate, phylloquinone, folic acid, vitamin d3, vitamin b12. * a source of docosahexaenoic acid (dha) ** a source of arachidonic acid (ara)			ND	NT	ND	ND	ND	95	7080000	ND	ND	ND	ND	2026
105	Bobbie	Organic	https://www.hibobbie.com/products/bobbie-organic-infant-formula?variant=42520534450261	"organic lactose, organic nonfat milk, organic high oleic (safflower or sunflower) oil, organic low erucic acid rapeseed oil, organic whey protein concentrate, organic coconut oil, organic linoleic (sunflower or safflower) oil, less than 1%: organic low erucic acid rapeseed lecithin, schizochytrium sp. oil; mortierella alpina oil;"" calcium phosphate, potassium citrate, sodium chloride, calcium carbonate, potassium hydroxide, potassium phosphate, magnesium chloride, potassium bicarbonate, ferrous sulfate, potassium chloride, zinc sulfate, cupric sulfate, manganese sulfate, potassium iodide, sodium selenite, choline bitartrate, ascorbic acid (vitamin c), ascorbyl palmitate, inositol, l-carnitine, mixed tocopherols concentrate, di-alpha tocopheryl acetate (vitamin e), niacinamide (vitamin b3), calcium pantothenate, vitamin a palmitate, riboflavin (vitamin b2), thiamine hydrochloride (vitamin b1), pyridoxine hydrochloride (vitamin b6), folic acid, phytonadione (vitamin k), biotin, cholecalciferol (vitamin d3), cyanocobalamin (vitamin b12).' '"			ND	NT	1.2	ND	ND	1030	6740000	ND	ND	ND	ND	2025
106	Bobbie	Organic Gentle	https://www.hibobbie.com/products/bobbie-organic-gentle-infant-formula?variant=42520529928277	organic lactose, organic partially hydrolyzed whey protein, organic high oleic (safflower or sunflower) oil, organic low erucic acid rapeseed oil, organic coconut oil, organic linoleic (safflower or sunflower) oil, less than 1%: organic low erucic acid rapeseed lecithin, mortierella alpina oil**, schizochytrium sp. oil***, vitamin a palmitate, cholecalciferol (vitamin d3), d/-alpha tocopheryl acetate (vitamin e), mixed tocopherols concentrate, phytonadione (vitamin k), ascorbyl palmitate, thiamine hydrochloride (vitamin b1), riboflavin (vitamin b2), pyridoxine hydrochloride (vitamin b6), cyanocobalamin (vitamin b12), niacinamide (vitamin b3), folic acid, calcium pantothenate, biotin, ascorbic acid (vitamin c), choline bitartrate, inositol, l-carnitine, calcium carbonate, calcium chloride, calcium hydroxide, calcium phosphate, ferrous sulfate, zinc sulfate, manganese sulfate, cupric sulfate, magnesium chloride, potassium bicarbonate, potassium chloride, potassium phosphate, potassium hydroxide, potassium iodide, sodium chloride, sodium selenite, sodium citrate. **a source of arachidonic acid (ara) ***a source of docosahexaenoic acid (dha)			ND	NT	1.5	ND	ND	1325	7376667	ND	ND	ND	ND	2025
107	Bobbie	Organic Whole Milk	https://www.hibobbie.com/products/organic-whole-milk-infant-formula	organic lactose, organic whole milk, organic linoleic sunflower oil, organic low erucic acid rapeseed oil, organic whey protein concentrate, organic high oleic sunflower oil, organic coconut oil, less than 2 % of: organic low erucic acid rapeseed lecithin, schizochytrium sp. oil* mortierella alpina oil**, calcium carbonate, calcium phosphate, potassium chloride, sodium chloride, potassium citrate, l-carnitine, magnesium phosphate, calcium ascorbate, choline bitartrate, inositol, potassium iodide, ferrous sulfate, d-alpha tocopheryl acetate, zinc sulfate, vitamin c palmitate, niacinamide, calcium pantothenate, biotin, vitamin a, thiamin hydrochloride, copper sulfate, riboflavin, mixed tocopherols, pyridoxine hydrochloride, sodium selenate, manganese sulfate, phylloquinone, folic acid, vitamin d3, vitamin b12.			2	NT	ND	ND	ND	126	6210000	ND	ND	ND	ND	2026
108	Bubs	"Stage 1 Easy-digest
Goat Milk"	https://www.bubsaustralia.com/products/bubs-goat-milk-infant-formula-s1-800g	Lactose, Goat Milk Solids (Goat Full Cream Milk Solids, Goat Whey Protein Concentrate) 28%, Vegetable Oil Blend (Sustainable Palm Olein, High Oleic Sunflower Oil, Canola Oil, Sunflower Oil, Coconut Oil), Galacto-Oligosaccharide (GOS), Docosahexaenoic Acid (DHA, From Alage), Emulsifier (Soybean Lecithin), Arachidonic Acid (ARA), Choline Bitartrate, Inositol, Taurine, Antioxidants (α-Tocopherol, Ascorbyl Palmitate), L-Carnitine. Vitamins: Sodium Ascorbate, dl-α-Tocopheryl Acetate, Vitamin A Acetate, Niacinamide, Calcium Pantothenate, Cyanocobalamin, Cholecalciferol, d-Biotin, Folic Acid, Phytonadione, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride. Minerals: Sodium Citrate, Calcium Carbonate, Potassium Chloride, Ferrous Sulphate, Magnesium Sulphate, Magnesium Chloride, Calcium Phosphate, Zinc Sulphate, Copper Sulphate, Manganese Sulphate, Potassium Iodide, Potassium Phosphate, Sodium Selenite.			2.8	NT	ND	ND	ND	318	6310000	ND	ND	ND	ND	2025
109	Bubs	"Stage 1 Organic
Grass Fed"	https://www.bubsaustralia.com/products/bubs-organic-infant-formula-s1-800g-x-1	Organic Lactose, Organic Vegetable Oil Blend (High Oleic Sunflower, Coconut, Soy, Canola), Organic Whole Milk Powder, Organic Whey Protein Concentrate, Organic Skim Milk Powder, Organic Galacto-Oligosaccharide (GOS), Emulsifier (Soy Lecithin), Docosahexaenoic Acid (DHA, from Algae), Arachidonic Acid (ARA), Probiotic Bifidobacterium longum BB536. Vitamins: Ascorbic Acid, dl-α-Tocopheryl Acetate, Vitamin A Acetate, Niacinamide, Calcium Pantothenate, Cholecalciferol, Thiamine Hydrochloride, Cyanocobalamin, Phytonadione, Pyridoxine Hydrochloride, Folic Acid, D-Biotin Minerals: Potassium Phosphate, Calcium Phosphate, Magnesium Chloride, Sodium Chloride, Calcium Carbonate, Potassium Chloride, Ferrous Sulphate, Potassium Citrate, Sodium Citrate, Zinc Sulphate, Copper Sulphate, Manganese Sulphate, Potassium Iodide, Sodium Selenite.			2.9	NT	1.9	1.9	ND	1985	6135000	ND	ND	ND	ND	2025
110	ByHeart	Whole Nutrition	https://www.samsclub.com/ip/byheart-whole-nutrition-powder-infant-formula-for-0-12-months-24oz-canister/17596850186	"""ORGANIC WHOLE MILK*, LACTOSE, ORGANIC VEGETABLE OILS (ORGANIC HIGH OLEIC SUNFLOWER, ORGANIC, LOW ERUCIC RAPESEED, ORGANIC COCONUT, ORGANIC SUNFLOWER), ORGANIC GALACTOOLIGOSACCHARIDES°, ALPHA-LACTALBUMIN ** WHEY PROTEIN, WHEY PROTEIN HYDROLYSATE, LESS THAN 1%: LACTOFERRIN *** , DHA ALGAL OIL8 (SCHIZOCHYTRIUM), MORTIERELLA ALPINA OIL*, VITAMIN A PALMITATE, VITAMIN D3, VITAMIN E ACETATE, VITAMIN K1, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, VITAMIN B6 HYDROCHLORIDE, VITAMIN B12, NIACINAMIDE, CALCIUM PANTOTHENATE, FOLIC ACID, BIOTIN, ASCORBIC ACID, MIXED TOCOPHEROLS, ASCORBYL PALMITATE, L-CARNITINE, INOSITOL, CALCIUM PHOSPHATE, SODIUM CITRATE, CALCIUM CARBONATE, POTASSIUM CITRATE, FERROUS SULFATE, POTASSIUM CHLORIDE, MAGNESIUM PHOSPHATE, CALCIUM CHLORIDE, ZINC SULFATE, CUPRIC SULFATE, MANGANESE SULFATE, POTASSIUM IODIDE, SODIUM SELENATE, POTASSIUM BICARBONATE, CHOLINE CHLORIDE. CONTAINS: MILK *FIRST US INFANT FORMULA TO INCLUDE ORGANIC, GRASS-FED WHOLE MILK ** FIRST US INFANT FORMULA AT BREAST MILK LEVELS *** A KEY PROTEIN FOUND IN BREAST MILK AND COLOSTRUM °A PREBIOTIC FIBER"""			ND	NT	3.5	3.9	ND	1280	6320000	ND	ND	ND	ND	2025
